name,address,url,capacity
メルパルクホール,〒105-8582 東京都港区芝公園2-5-20,https://www.mielparque.jp/tokyo/hall/,1582
沼津市民文化センター 大ホール,〒410-0832 静岡県沼津市御幸町15-1,http://numazu-kousya.jp/culture/,1516
NHKホール,〒150-8001 東京都渋谷区神南2-2-1,http://www.nhk-sc.or.jp/nhk_hall/,3400
豊洲PIT,〒135-0061 東京都江東区豊洲6-1-23,http://toyosu-pit.team-smile.org/,3103
横浜アリーナ,〒222-0033 神奈川県横浜市港北区新横浜3-10,https://www.yokohama-arena.co.jp/,13000
国立代々木競技場 第一体育館,〒150-0041 東京都渋谷区神南2-1-1,https://www.jpnsport.go.jp/yoyogi/tabid/70/Default.aspx,13243
Microsoft Theater,"777 Chick Hearn Ct, Los Angeles, CA 90015",https://www.microsofttheater.com/,7100
梅赛德斯-奔驰文化中心,200126 上海市浦东新区世博大道1200号,http://www.mercedes-benzarena.com/,18000
日本ガイシホール,〒457-0833 愛知県名古屋市南区東又兵ヱ町5-1-16,http://www.nespa.or.jp/hall/,10000
神戸ワールド記念ホール,〒650-0046 兵庫県神戸市中央区港島中町6-12-2,https://www.kobe-spokyo.jp/world-kobe/,8000
さいたまスーパーアリーナ,〒330-9111 埼玉県さいたま市中央区新都心8,https://www.saitama-arena.co.jp/,30000
メットライフドーム,〒359-1153 埼玉県所沢市上山口2135,https://www.seibulions.jp/stadium/,33556
青海P地区 特設ステージ,〒135-0064 東京都江東区青海1-1-17,,
オリックス劇場,〒550-0013 大阪府大阪市西区新町1-14-15,http://www.orixtheater.jp/,2400
KBS ARENA,"376, Gonghang-daero, Gangseo-gu, Seoul 07648",http://kbsbiz.co.kr/kbsarena,3000
ニトリ文化ホール,〒060-0001 北海道札幌市中央区北1条西12,https://www.sapporo-geibun.jp/hall.html,2300
福岡サンパレス ホテル&ホール,〒812-0021 福岡県福岡市博多区築港本町2-1,http://www.f-sunpalace.com/,2316
幕張メッセ イベントホール,〒261-8550 千葉県千葉市美浜区中瀬2-1,https://www.m-messe.co.jp/organizers/guide/eventhall/guide_eventhall,9000
静安体育中心 体育馆,,,
名古屋国際会議場 センチュリーホール,〒456-0036 愛知県名古屋市熱田区熱田西町1-1,http://www.nagoya-congress-center.jp/facility/century_hall/,3012
台北國際會議中心（TICC）,11049 台北市信義路五段1號,http://www.ticc.com.tw/,3122
函館アリーナ メインアリーナ,〒042-0932 北海道函館市湯川町1-32-2,http://www.zaidan-hakodate.com/arena/,5000
